id,conf,lat,lon,intersection_id,corner,src_image,n_detections
dt_wsqqnwbm5,0.5179,24.9988993,121.5752217,TPS_00407,NE,TPS_00407,1
dt_wsqqw2hkw,0.5156,25.0496276,121.569827,TPS_02492,SW,TPS_02492,1
dt_wsqqt0vkd,0.5153,25.0537328,121.5161129,TPS_00486,NW,TPS_00486,1
dt_wsqqt3jgd,0.5149,25.0549429,121.5277771,TPS_00699,NE,TPS_00699,1
dt_wsqqmrbsv,0.5146,25.048277,121.5206976,TPS_00147,NW,TPS_00147,1
dt_wsqqt0d6c,0.5146,25.0520568,121.5119292,TPS_01586,NE,TPS_01586,1
dt_wsqqmq5cy,0.5144,25.0381521,121.525193,TPS_00269,SW,TPS_00269,1
dt_wsqqt9sku,0.5129,25.0578848,121.5368021,TPS_00627,SE,TPS_00627,1
dt_wsqqtr37h,0.5122,25.0891741,121.5217003,TPS_00767,NE,TPS_00767,1
dt_wsqqwfhjq,0.5121,25.0607337,121.5914549,TPS_00856,NE,TPS_00856,1
dt_wsqqqxd5j,0.5116,25.0466163,121.5776929,TPS_00746,SW,TPS_00746,1
dt_wsqqtr328,0.5116,25.0887658,121.5215033,TPS_00767,SW,TPS_00767,1
dt_wsqqub0pd,0.5098,25.094086,121.4979314,TPS_01093,NE,TPS_01093,1
dt_wsqqt8dcn,0.5051,25.0517677,121.5348038,TPS_00716,SE,TPS_00716,1
dt_wsqqtq6wz,0.5044,25.0843495,121.5235283,TPS_00151,NW,TPS_00151,1
dt_wsqqqrgd2,0.5007,25.047854,121.5685319,TPS_01176,SW,TPS_01176,1
