id,lat,lon,n_nodes,source,zoom,grid,tile_x0,tile_y0,blank_tiles,status,path
TPS_00088,24.990634,121.56645,5,taipei_udd_Image_2025,21,4,1756750,898145,0,ok,taipei_z21/images/TPS_00088.jpg
TPS_00089,25.101773,121.521344,5,taipei_udd_Image_2025,21,4,1756487,897430,0,ok,taipei_z21/images/TPS_00089.jpg
TPS_00090,25.012988,121.563283,5,taipei_udd_Image_2025,21,4,1756731,898001,0,ok,taipei_z21/images/TPS_00090.jpg
TPS_00091,25.056112,121.540582,5,taipei_udd_Image_2025,21,4,1756599,897724,0,ok,taipei_z21/images/TPS_00091.jpg
TPS_00093,25.06207,121.547943,5,taipei_udd_Image_2025,21,4,1756642,897685,0,ok,taipei_z21/images/TPS_00093.jpg
TPS_00092,24.997261,121.562076,5,taipei_udd_Image_2025,21,4,1756724,898102,0,ok,taipei_z21/images/TPS_00092.jpg
TPS_00094,25.056183,121.536971,5,taipei_udd_Image_2025,21,4,1756578,897723,0,ok,taipei_z21/images/TPS_00094.jpg
TPS_00095,25.051385,121.566048,5,taipei_udd_Image_2025,21,4,1756748,897754,0,ok,taipei_z21/images/TPS_00095.jpg
TPS_00096,25.051295,121.568372,5,taipei_udd_Image_2025,21,4,1756761,897755,0,ok,taipei_z21/images/TPS_00096.jpg
TPS_00097,25.026845,121.548812,5,taipei_udd_Image_2025,21,4,1756647,897912,0,ok,taipei_z21/images/TPS_00097.jpg
TPS_00098,25.072435,121.542308,5,taipei_udd_Image_2025,21,4,1756609,897619,0,ok,taipei_z21/images/TPS_00098.jpg
TPS_00099,25.048219,121.547187,5,taipei_udd_Image_2025,21,4,1756638,897774,0,ok,taipei_z21/images/TPS_00099.jpg
TPS_00100,25.044597,121.542245,5,taipei_udd_Image_2025,21,4,1756609,897798,0,ok,taipei_z21/images/TPS_00100.jpg
TPS_00101,25.044859,121.543864,4,taipei_udd_Image_2025,21,4,1756618,897796,0,ok,taipei_z21/images/TPS_00101.jpg
TPS_00102,25.016305,121.532724,4,taipei_udd_Image_2025,21,4,1756553,897980,0,ok,taipei_z21/images/TPS_00102.jpg
TPS_00103,25.035277,121.5125,4,taipei_udd_Image_2025,21,4,1756436,897858,0,ok,taipei_z21/images/TPS_00103.jpg
TPS_00104,25.027245,121.51597,4,taipei_udd_Image_2025,21,4,1756456,897909,0,ok,taipei_z21/images/TPS_00104.jpg
TPS_00105,25.041623,121.543776,4,taipei_udd_Image_2025,21,4,1756618,897817,0,ok,taipei_z21/images/TPS_00105.jpg
TPS_00106,25.027071,121.522428,4,taipei_udd_Image_2025,21,4,1756493,897910,0,ok,taipei_z21/images/TPS_00106.jpg
TPS_00107,25.053164,121.616281,4,taipei_udd_Image_2025,21,4,1757040,897743,0,ok,taipei_z21/images/TPS_00107.jpg
TPS_00108,25.07943,121.576867,4,taipei_udd_Image_2025,21,4,1756811,897574,0,ok,taipei_z21/images/TPS_00108.jpg
TPS_00109,25.073344,121.605733,4,taipei_udd_Image_2025,21,4,1756979,897613,0,ok,taipei_z21/images/TPS_00109.jpg
TPS_00110,25.037307,121.506878,4,taipei_udd_Image_2025,21,4,1756403,897845,0,ok,taipei_z21/images/TPS_00110.jpg
TPS_00111,25.035675,121.510809,4,taipei_udd_Image_2025,21,4,1756426,897855,0,ok,taipei_z21/images/TPS_00111.jpg
TPS_00112,25.03128,121.507778,4,taipei_udd_Image_2025,21,4,1756408,897883,0,ok,taipei_z21/images/TPS_00112.jpg
TPS_00113,25.007963,121.538251,4,taipei_udd_Image_2025,21,4,1756586,898033,0,ok,taipei_z21/images/TPS_00113.jpg
TPS_00114,25.046339,121.523799,4,taipei_udd_Image_2025,21,4,1756501,897786,0,ok,taipei_z21/images/TPS_00114.jpg
TPS_00115,25.07972,121.544422,4,taipei_udd_Image_2025,21,4,1756622,897572,0,ok,taipei_z21/images/TPS_00115.jpg
TPS_00116,24.987139,121.578282,4,taipei_udd_Image_2025,21,4,1756819,898167,0,ok,taipei_z21/images/TPS_00116.jpg
