id,lat,lon,n_nodes,source,zoom,grid
TPS_00353,25.064821,121.513692,3,taipei_udd_Image_2025,21,4
TPS_00354,25.065937,121.513695,3,taipei_udd_Image_2025,21,4
TPS_00355,25.005419,121.55727,3,taipei_udd_Image_2025,21,4
TPS_00356,25.004342,121.556794,3,taipei_udd_Image_2025,21,4
TPS_00357,24.992738,121.558805,3,taipei_udd_Image_2025,21,4
TPS_00358,24.999115,121.566947,3,taipei_udd_Image_2025,21,4
TPS_00359,25.000475,121.53968,3,taipei_udd_Image_2025,21,4
TPS_00360,25.000456,121.568778,3,taipei_udd_Image_2025,21,4
TPS_00361,25.02811,121.521623,3,taipei_udd_Image_2025,21,4
TPS_00362,25.035451,121.524353,3,taipei_udd_Image_2025,21,4
TPS_00363,24.988756,121.57761,3,taipei_udd_Image_2025,21,4
TPS_00364,25.0589,121.580308,3,taipei_udd_Image_2025,21,4
TPS_00365,25.081111,121.572248,3,taipei_udd_Image_2025,21,4
TPS_00366,24.985779,121.579839,3,taipei_udd_Image_2025,21,4
